code,product_name,brands,categories
54490000542270,Coca-Cola 1l PET,Coca Cola,"Bezalkoholna pića, kafa, čaj"
54490000562450,"Next Limunada-Limun Jagoda 0,4l PET",Next,"Bezalkoholna pića, kafa, čaj"
54490000591850,"Next Limunada-limun jagoda 1,25l",Next,"Bezalkoholna pića, kafa, čaj"
54490000877750,"Fanta Orange 2x1,5l PET",Fanta,"Bezalkoholna pića, kafa, čaj"
54490000896560,Coca Cola Lime 1.5l,Coca Cola,"Bezalkoholna pića, kafa, čaj"
54490000990680,"Schweppes Bitter Lemon Zero 0,33l CAN",Schweppes,"Bezalkoholna pića, kafa, čaj"
54490000990820,Schweppes Bitter Lemon Zero 1l pet,Schweppes,"Bezalkoholna pića, kafa, čaj"
54490001244870,Coca Cola Lime 0.5l,Coca Cola,"Bezalkoholna pića, kafa, čaj"
54490001318360,Coca Cola Zero 0.5l PET,Coca Cola Zero,"Bezalkoholna pića, kafa, čaj"
54490001318430,Coca Cola Zero generic 2l,Coca Cola Zero,"Bezalkoholna pića, kafa, čaj"
54490001333280,Coca Cola Zero 1l,Coca Cola Zero,"Bezalkoholna pića, kafa, čaj"
54490001339600,Mineralna voda NG Rosa 6l PET,Rosa,"Bezalkoholna pića, kafa, čaj"
54490001550230,Mineralna voda NG Rosa Sport cap 0.75l,Rosa,"Bezalkoholna pića, kafa, čaj"
54490001550610,Min.voda negazir.Rosa multipack 4x1.5PET,Rosa,"Bezalkoholna pića, kafa, čaj"
54490001564570,"ZA VP Voda Rosa gazirana 0,75L NRGB",Rosa,"Bezalkoholna pića, kafa, čaj"
54490001564710,"Za VP Rosa 0,7l NRGB",Rosa,"Bezalkoholna pića, kafa, čaj"
54490001570650,Next Lemonades Basic Lemon 0.4 PET,Next,"Bezalkoholna pića, kafa, čaj"
54490001570720,Napitak Lemonades-basic lemon Next 1.25l,Next,"Bezalkoholna pića, kafa, čaj"
54490001599150,Nap.Lemonades-lemon mint Next 0.4l PET,Next,"Bezalkoholna pića, kafa, čaj"
54490001602320,Nap.Lemonades-lemon mint Next 1.25l PET,Next,"Bezalkoholna pića, kafa, čaj"
54490001931240,"Ledeni caj sumsko voce Fuze ea 0,5l PET",Fuzetea,"Bezalkoholna pića, kafa, čaj"
54490001931550,"Ledeni caj sumsko voce Fuze Tea 1,5l PET",Fuzetea,"Bezalkoholna pića, kafa, čaj"
54490002147750,"Sprite 0,33l CAN",Sprite,"Bezalkoholna pića, kafa, čaj"
54490002147990,Coca Cola Zero 0.33l CAN,Coca Cola Zero,"Bezalkoholna pića, kafa, čaj"
54490002148050,"Fanta 0,33l CAN",Fanta,"Bezalkoholna pića, kafa, čaj"
54490002148430,"Coca Cola Cherry 0,33l CAN",Coca Cola,"Bezalkoholna pića, kafa, čaj"
