code,product_name,brands,categories,countries,source,rappelconso:fiche_id,rappelconso:lien_fiche
3503651432703,"4 tranches de saumon farci, surgelées",privilège du traiteur,autres,France,Rappel Conso,21381,https://rappel.conso.gouv.fr/fiche-rappel/21381/interne
314332000074,"crevette grise barquette (1kg, moyenne)",le bulotier,produits de la pêche et d'aquaculture,France,Rappel Conso,21379,https://rappel.conso.gouv.fr/fiche-rappel/21379/interne
0202440000000,nouilles royales,sans,viandes,France,Rappel Conso,21366,https://rappel.conso.gouv.fr/fiche-rappel/21366/interne
3440432025078,aiguillettes truite fumée citron poivre,aperti'fish,produits de la pêche et d'aquaculture,France,Rappel Conso,21376,https://rappel.conso.gouv.fr/fiche-rappel/21376/interne
3560070542611,"fromage frais 3,2% de matière grasse",carrefour bio,lait et produits laitiers,France,Rappel Conso,21365,https://rappel.conso.gouv.fr/fiche-rappel/21365/interne
